age,workclass,education
0,govt-employed,HS-grad
0,govt-employed,Some-College
0,govt-employed,HS-grad
0,govt-employed,Some-College
0,govt-employed,Some-College
0,govt-employed,HS-grad
0,govt-employed,Some-College
0,govt-employed,HS-grad
0,govt-employed,HS-grad
0,govt-employed,Some-College
0,govt-employed,Masters-or-equivalent
0,govt-employed,Some-College
0,govt-employed,Below-HS
0,govt-employed,Some-College
0,self-employed,HS-grad
0,govt-employed,HS-grad
0,govt-employed,Below-HS
0,govt-employed,Below-HS
0,govt-employed,Below-HS
0,govt-employed,Some-College
0,govt-employed,Below-HS
0,govt-employed,Below-HS
0,govt-employed,Below-HS
0,empl-unknown,HS-grad
0,govt-employed,Masters-or-equivalent
0,unemployed,Below-HS
0,govt-employed,Below-HS
0,unemployed,HS-grad
0,govt-employed,HS-grad
0,govt-employed,Some-College
0,govt-employed,Bachelors
0,govt-employed,HS-grad
0,govt-employed,Some-College
0,govt-employed,Below-HS
0,govt-employed,Masters-or-equivalent
0,govt-employed,Bachelors
0,empl-unknown,Some-College
0,govt-employed,Some-College
0,govt-employed,Doctorate
0,govt-employed,Some-College
0,govt-employed,HS-grad
0,govt-employed,Some-College
0,govt-employed,HS-grad
0,govt-employed,Bachelors
0,govt-employed,HS-grad
0,govt-employed,HS-grad
0,govt-employed,HS-grad
0,govt-employed,HS-grad
0,govt-employed,HS-grad
0,govt-employed,Below-HS
0,govt-employed,HS-grad
0,govt-employed,HS-grad
0,govt-employed,Some-College
0,govt-employed,HS-grad
0,govt-employed,Below-HS
0,govt-employed,Below-HS
0,govt-employed,HS-grad
0,govt-employed,Some-College
0,govt-employed,Bachelors
0,govt-employed,Some-College
0,self-employed,HS-grad
0,unemployed,Bachelors
0,unemployed,Some-College
0,govt-employed,Below-HS
0,empl-unknown,Below-HS
0,govt-employed,HS-grad
0,govt-employed,Some-College
0,govt-employed,Bachelors
0,unemployed,Some-College
0,govt-employed,HS-grad
2,govt-employed,Bachelors
0,govt-employed,Some-College
0,empl-unknown,Some-College
0,govt-employed,Below-HS
0,govt-employed,Some-College
0,govt-employed,HS-grad
0,govt-employed,HS-grad
0,govt-employed,HS-grad
0,govt-employed,HS-grad
0,govt-employed,Below-HS
1,govt-employed,HS-grad
1,govt-employed,Bachelors
0,govt-employed,Some-College
0,govt-employed,Some-College
0,govt-employed,HS-grad
0,govt-employed,HS-grad
0,govt-employed,HS-grad
0,unemployed,HS-grad
0,self-employed,HS-grad
0,unemployed,HS-grad
0,govt-employed,Below-HS
0,govt-employed,HS-grad
0,govt-employed,Some-College
0,govt-employed,HS-grad
0,empl-unknown,Some-College
0,govt-employed,HS-grad
0,govt-employed,Bachelors
0,govt-employed,HS-grad
0,govt-employed,HS-grad
0,govt-employed,Some-College
0,govt-employed,Some-College
0,govt-employed,Some-College
0,govt-employed,HS-grad
0,govt-employed,Some-College
0,govt-employed,Masters-or-equivalent
0,govt-employed,Masters-or-equivalent
0,self-employed,Bachelors
0,empl-unknown,Bachelors
2,govt-employed,Masters-or-equivalent
0,govt-employed,HS-grad
0,govt-employed,Some-College
0,self-employed,HS-grad
0,govt-employed,Some-College
0,govt-employed,HS-grad
0,govt-employed,Below-HS
0,govt-employed,Bachelors
0,unemployed,HS-grad
0,govt-employed,Below-HS
0,govt-employed,HS-grad
1,govt-employed,HS-grad
0,govt-employed,HS-grad
0,govt-employed,Some-College
0,govt-employed,Below-HS
0,govt-employed,Some-College
0,govt-employed,Some-College
0,govt-employed,Bachelors
0,govt-employed,HS-grad
1,govt-employed,HS-grad
0,govt-employed,Some-College
0,govt-employed,Bachelors
0,govt-employed,HS-grad
0,govt-employed,Masters-or-equivalent
0,self-employed,HS-grad
0,govt-employed,Some-College
0,govt-employed,Masters-or-equivalent
0,empl-unknown,Some-College
0,unemployed,Some-College
0,govt-employed,Bachelors
0,unemployed,Some-College
0,govt-employed,Some-College
0,govt-employed,Some-College
0,govt-employed,Some-College
0,govt-employed,Bachelors
0,govt-employed,HS-grad
0,govt-employed,Some-College
0,govt-employed,HS-grad
0,govt-employed,HS-grad
0,govt-employed,Below-HS
0,empl-unknown,Some-College
0,govt-employed,HS-grad
0,empl-unknown,Below-HS
0,govt-employed,HS-grad
0,govt-employed,Some-College
2,empl-unknown,HS-grad
0,govt-employed,Some-College
0,govt-employed,HS-grad
0,govt-employed,Masters-or-equivalent
0,govt-employed,Some-College
0,govt-employed,HS-grad
0,empl-unknown,Some-College
0,govt-employed,HS-grad
0,govt-employed,Some-College
0,govt-employed,Some-College
0,govt-employed,Some-College
0,govt-employed,Bachelors
0,govt-employed,Some-College
0,empl-unknown,Bachelors
0,govt-employed,HS-grad
0,empl-unknown,Some-College
0,govt-employed,Below-HS
0,unemployed,Some-College
0,govt-employed,Bachelors
0,govt-employed,Bachelors
0,govt-employed,Bachelors
0,govt-employed,HS-grad
0,govt-employed,Some-College
0,govt-employed,Below-HS
0,govt-employed,Some-College
1,govt-employed,Some-College
0,govt-employed,Some-College
0,govt-employed,Masters-or-equivalent
0,govt-employed,Masters-or-equivalent
0,govt-employed,Some-College
2,govt-employed,Bachelors
0,govt-employed,HS-grad
0,empl-unknown,Below-HS
0,govt-employed,Bachelors
0,empl-unknown,Below-HS
0,govt-employed,Some-College
0,govt-employed,HS-grad
0,govt-employed,HS-grad
0,govt-employed,HS-grad
0,govt-employed,HS-grad
0,govt-employed,Some-College
0,govt-employed,HS-grad
0,govt-employed,Some-College
0,govt-employed,Bachelors
0,govt-employed,Some-College
1,empl-unknown,Masters-or-equivalent
0,govt-employed,HS-grad
0,govt-employed,Masters-or-equivalent
0,govt-employed,Below-HS
0,govt-employed,Some-College
0,govt-employed,Below-HS
0,empl-unknown,Below-HS
0,govt-employed,HS-grad
0,govt-employed,Some-College
1,govt-employed,Bachelors
1,unemployed,HS-grad
0,govt-employed,Below-HS
0,govt-employed,HS-grad
0,govt-employed,HS-grad
0,govt-employed,Masters-or-equivalent
0,self-employed,HS-grad
0,govt-employed,HS-grad
0,govt-employed,HS-grad
0,govt-employed,HS-grad
0,govt-employed,Some-College
0,govt-employed,HS-grad
0,govt-employed,Below-HS
0,govt-employed,HS-grad
0,govt-employed,HS-grad
0,govt-employed,Below-HS
0,empl-unknown,HS-grad
0,unemployed,Below-HS
0,govt-employed,Below-HS
0,govt-employed,Below-HS
0,govt-employed,Doctorate
1,empl-unknown,Below-HS
0,self-employed,Masters-or-equivalent
0,govt-employed,Masters-or-equivalent
0,govt-employed,HS-grad
0,unemployed,Below-HS
0,govt-employed,HS-grad
0,govt-employed,HS-grad
0,govt-employed,Some-College
0,self-employed,HS-grad
0,govt-employed,Some-College
0,govt-employed,Below-HS
0,govt-employed,Some-College
0,govt-employed,Some-College
0,govt-employed,Bachelors
0,govt-employed,Below-HS
0,govt-employed,Below-HS
0,govt-employed,Masters-or-equivalent
0,govt-employed,Some-College
0,govt-employed,Masters-or-equivalent
0,govt-employed,HS-grad
0,govt-employed,Below-HS
0,govt-employed,Bachelors
0,govt-employed,HS-grad
0,govt-employed,HS-grad
0,govt-employed,Some-College
0,govt-employed,Below-HS
0,govt-employed,Bachelors
0,govt-employed,Some-College
0,govt-employed,HS-grad
0,govt-employed,HS-grad
0,govt-employed,Some-College
0,govt-employed,HS-grad
1,govt-employed,Bachelors
0,govt-employed,Bachelors
0,govt-employed,Some-College
1,govt-employed,Doctorate
0,govt-employed,HS-grad
0,govt-employed,Bachelors
0,govt-employed,Some-College
0,govt-employed,HS-grad
0,govt-employed,Bachelors
0,govt-employed,HS-grad
0,govt-employed,Some-College
0,govt-employed,Below-HS
0,govt-employed,Bachelors
0,govt-employed,Some-College
0,govt-employed,Doctorate
0,govt-employed,HS-grad
0,unemployed,HS-grad
0,govt-employed,Some-College
0,govt-employed,Some-College
0,govt-employed,Some-College
0,govt-employed,HS-grad
0,govt-employed,HS-grad
0,unemployed,HS-grad
0,govt-employed,HS-grad
0,govt-employed,Bachelors
0,govt-employed,HS-grad
0,govt-employed,Some-College
0,govt-employed,Some-College
0,govt-employed,Below-HS
0,govt-employed,Below-HS
0,govt-employed,Some-College
0,govt-employed,Bachelors
0,govt-employed,Below-HS
0,govt-employed,Below-HS
0,govt-employed,HS-grad
0,govt-employed,Some-College
0,govt-employed,Masters-or-equivalent
0,govt-employed,HS-grad
0,govt-employed,HS-grad
0,govt-employed,Some-College
0,empl-unknown,HS-grad
0,govt-employed,HS-grad
0,govt-employed,Bachelors
0,govt-employed,Below-HS
0,govt-employed,HS-grad
0,govt-employed,Bachelors
0,govt-employed,Below-HS
0,govt-employed,Bachelors
0,govt-employed,Some-College
0,govt-employed,HS-grad
2,govt-employed,HS-grad
0,govt-employed,HS-grad
0,govt-employed,Below-HS
0,govt-employed,Some-College
0,govt-employed,Some-College
0,govt-employed,Some-College
0,govt-employed,HS-grad
0,govt-employed,HS-grad
0,govt-employed,Some-College
0,govt-employed,HS-grad
2,govt-employed,HS-grad
0,self-employed,Some-College
0,govt-employed,Some-College
0,govt-employed,Bachelors
0,govt-employed,Bachelors
0,govt-employed,Below-HS
0,govt-employed,Below-HS
0,empl-unknown,Bachelors
0,empl-unknown,HS-grad
0,govt-employed,HS-grad
0,govt-employed,HS-grad
0,govt-employed,Some-College
0,govt-employed,Some-College
0,govt-employed,Some-College
0,empl-unknown,Below-HS
0,unemployed,HS-grad
0,govt-employed,Some-College
0,govt-employed,HS-grad
0,govt-employed,Bachelors
0,govt-employed,Masters-or-equivalent
1,govt-employed,HS-grad
0,empl-unknown,HS-grad
1,self-employed,Some-College
0,govt-employed,Masters-or-equivalent
0,govt-employed,Some-College
0,govt-employed,HS-grad
0,govt-employed,HS-grad
0,govt-employed,Masters-or-equivalent
0,unemployed,Some-College
0,govt-employed,HS-grad
0,govt-employed,Bachelors
0,govt-employed,Masters-or-equivalent
0,self-employed,HS-grad
0,govt-employed,Masters-or-equivalent
0,govt-employed,Some-College
0,self-employed,Bachelors
0,govt-employed,Some-College
0,govt-employed,Bachelors
0,govt-employed,Masters-or-equivalent
0,govt-employed,Masters-or-equivalent
0,govt-employed,Some-College
2,govt-employed,HS-grad
0,govt-employed,Some-College
0,govt-employed,Some-College
0,govt-employed,Bachelors
0,govt-employed,Some-College
0,govt-employed,Bachelors
0,govt-employed,Below-HS
0,unemployed,Bachelors
0,govt-employed,Bachelors
0,govt-employed,Some-College
0,govt-employed,HS-grad
0,govt-employed,Some-College
1,govt-employed,HS-grad
0,govt-employed,HS-grad
0,govt-employed,Some-College
0,govt-employed,HS-grad
0,govt-employed,Bachelors
0,self-employed,Doctorate
0,govt-employed,Below-HS
1,empl-unknown,HS-grad
0,govt-employed,Some-College
0,govt-employed,HS-grad
0,govt-employed,HS-grad
0,govt-employed,Some-College
0,govt-employed,Some-College
0,govt-employed,Bachelors
0,govt-employed,Masters-or-equivalent
0,govt-employed,Some-College
0,govt-employed,Some-College
0,govt-employed,Some-College
0,govt-employed,Some-College
0,govt-employed,Some-College
0,govt-employed,HS-grad
0,govt-employed,HS-grad
0,govt-employed,HS-grad
0,govt-employed,Some-College
0,govt-employed,Some-College
0,govt-employed,HS-grad
0,govt-employed,HS-grad
0,govt-employed,Bachelors
0,govt-employed,Bachelors
0,govt-employed,Below-HS
0,self-employed,Masters-or-equivalent
0,govt-employed,Some-College
0,govt-employed,Masters-or-equivalent
0,govt-employed,HS-grad
0,govt-employed,Some-College
0,govt-employed,Some-College
0,govt-employed,Bachelors
0,unemployed,Some-College
0,govt-employed,Some-College
0,unemployed,HS-grad
0,govt-employed,HS-grad
0,govt-employed,Bachelors
2,unemployed,Some-College
0,govt-employed,Some-College
0,govt-employed,Some-College
0,govt-employed,Below-HS
0,govt-employed,Some-College
0,govt-employed,HS-grad
1,empl-unknown,Some-College
0,self-employed,Bachelors
0,govt-employed,Some-College
0,govt-employed,Some-College
0,govt-employed,Below-HS
0,self-employed,HS-grad
0,govt-employed,Some-College
0,govt-employed,Below-HS
0,govt-employed,Some-College
0,govt-employed,HS-grad
0,govt-employed,HS-grad
0,govt-employed,Bachelors
0,govt-employed,Below-HS
0,govt-employed,HS-grad
0,self-employed,Bachelors
0,govt-employed,Bachelors
0,govt-employed,Some-College
0,govt-employed,Some-College
0,govt-employed,HS-grad
0,govt-employed,HS-grad
0,govt-employed,HS-grad
0,govt-employed,HS-grad
1,govt-employed,HS-grad
0,govt-employed,Some-College
0,govt-employed,HS-grad
0,govt-employed,HS-grad
0,govt-employed,Some-College
0,empl-unknown,Some-College
0,govt-employed,HS-grad
0,govt-employed,Some-College
0,govt-employed,HS-grad
0,govt-employed,Some-College
2,govt-employed,Below-HS
0,govt-employed,Some-College
0,govt-employed,Bachelors
0,govt-employed,Bachelors
0,govt-employed,Bachelors
0,govt-employed,Some-College
0,govt-employed,Below-HS
0,govt-employed,HS-grad
0,govt-employed,Some-College
0,self-employed,Bachelors
0,govt-employed,HS-grad
0,govt-employed,HS-grad
0,govt-employed,Bachelors
0,govt-employed,HS-grad
0,govt-employed,Some-College
0,govt-employed,Below-HS
0,govt-employed,HS-grad
0,govt-employed,HS-grad
0,govt-employed,Bachelors
0,govt-employed,HS-grad
0,govt-employed,Some-College
0,govt-employed,Bachelors
0,govt-employed,Some-College
0,govt-employed,Some-College
0,govt-employed,Bachelors
0,govt-employed,Some-College
0,govt-employed,HS-grad
0,govt-employed,HS-grad
0,govt-employed,Bachelors
0,govt-employed,Bachelors
0,govt-employed,Some-College
0,govt-employed,Some-College
0,govt-employed,HS-grad
0,govt-employed,Bachelors
0,govt-employed,Some-College
0,govt-employed,Some-College
0,govt-employed,Bachelors
0,govt-employed,Below-HS
0,govt-employed,Some-College
0,govt-employed,HS-grad
0,govt-employed,HS-grad
0,govt-employed,Some-College
0,govt-employed,Some-College
0,govt-employed,Some-College
0,govt-employed,Below-HS
0,govt-employed,Below-HS
0,govt-employed,Some-College
0,govt-employed,Bachelors
0,govt-employed,Some-College
0,govt-employed,Bachelors
0,govt-employed,Doctorate
0,govt-employed,Below-HS
0,self-employed,HS-grad
1,govt-employed,HS-grad
0,govt-employed,Masters-or-equivalent
1,govt-employed,HS-grad
0,govt-employed,HS-grad
0,empl-unknown,HS-grad
0,govt-employed,Below-HS
0,govt-employed,HS-grad
0,govt-employed,Some-College
0,govt-employed,HS-grad
0,govt-employed,Doctorate
1,govt-employed,Some-College
0,govt-employed,HS-grad
0,govt-employed,Masters-or-equivalent
0,govt-employed,HS-grad
2,empl-unknown,Below-HS
0,govt-employed,Some-College
2,self-employed,Below-HS
0,empl-unknown,Below-HS
0,govt-employed,HS-grad
0,govt-employed,Some-College
0,govt-employed,Masters-or-equivalent
0,govt-employed,HS-grad
0,govt-employed,Bachelors
0,govt-employed,HS-grad
0,govt-employed,HS-grad
0,govt-employed,Masters-or-equivalent
0,govt-employed,Some-College
0,govt-employed,HS-grad
1,govt-employed,Some-College
0,govt-employed,Some-College
0,govt-employed,Below-HS
0,govt-employed,HS-grad
0,govt-employed,Some-College
1,govt-employed,Below-HS
0,govt-employed,Some-College
0,govt-employed,HS-grad
0,govt-employed,Below-HS
0,govt-employed,Some-College
0,govt-employed,Some-College
0,govt-employed,Bachelors
0,govt-employed,Bachelors
0,govt-employed,Below-HS
0,govt-employed,Below-HS
0,govt-employed,HS-grad
0,govt-employed,Some-College
0,govt-employed,HS-grad
0,govt-employed,Some-College
0,govt-employed,HS-grad
0,govt-employed,HS-grad
0,govt-employed,Some-College
0,unemployed,Masters-or-equivalent
0,govt-employed,Bachelors
0,govt-employed,Below-HS
0,unemployed,HS-grad
0,self-employed,HS-grad
0,unemployed,Some-College
0,govt-employed,HS-grad
0,govt-employed,Below-HS
0,govt-employed,HS-grad
0,govt-employed,Some-College
0,govt-employed,Some-College
0,govt-employed,HS-grad
0,govt-employed,Bachelors
0,unemployed,Some-College
0,govt-employed,HS-grad
0,govt-employed,Bachelors
1,empl-unknown,Some-College
0,unemployed,HS-grad
0,govt-employed,Below-HS
0,govt-employed,HS-grad
0,govt-employed,HS-grad
0,govt-employed,Some-College
1,empl-unknown,Below-HS
0,govt-employed,Bachelors
0,govt-employed,Below-HS
0,govt-employed,Below-HS
0,unemployed,HS-grad
0,unemployed,Some-College
0,govt-employed,Bachelors
0,govt-employed,Some-College
0,govt-employed,Below-HS
0,govt-employed,HS-grad
1,unemployed,Below-HS
0,unemployed,Below-HS
0,govt-employed,HS-grad
0,govt-employed,HS-grad
0,unemployed,HS-grad
0,govt-employed,Bachelors
0,govt-employed,Some-College
0,govt-employed,Below-HS
0,govt-employed,HS-grad
1,govt-employed,HS-grad
0,govt-employed,HS-grad
0,govt-employed,Bachelors
0,govt-employed,Below-HS
0,govt-employed,Some-College
0,govt-employed,Bachelors
1,empl-unknown,HS-grad
0,govt-employed,Masters-or-equivalent
0,govt-employed,HS-grad
0,govt-employed,Some-College
0,unemployed,HS-grad
1,self-employed,HS-grad
0,govt-employed,Some-College
0,govt-employed,HS-grad
0,govt-employed,Some-College
0,govt-employed,HS-grad
1,empl-unknown,Below-HS
0,govt-employed,Below-HS
0,self-employed,Some-College
2,govt-employed,Masters-or-equivalent
0,govt-employed,HS-grad
0,govt-employed,HS-grad
0,govt-employed,Some-College
0,govt-employed,Some-College
0,govt-employed,Doctorate
0,govt-employed,Masters-or-equivalent
0,govt-employed,Below-HS
0,govt-employed,Below-HS
0,govt-employed,Some-College
0,govt-employed,Bachelors
1,empl-unknown,Bachelors
0,govt-employed,Below-HS
0,govt-employed,Bachelors
0,govt-employed,Some-College
0,govt-employed,Some-College
0,govt-employed,HS-grad
0,govt-employed,Some-College
0,govt-employed,Bachelors
0,govt-employed,Below-HS
0,govt-employed,Bachelors
0,govt-employed,Bachelors
0,govt-employed,Masters-or-equivalent
0,self-employed,Bachelors
0,govt-employed,HS-grad
0,govt-employed,Bachelors
0,govt-employed,HS-grad
0,govt-employed,Some-College
0,govt-employed,HS-grad
3,unemployed,HS-grad
0,govt-employed,HS-grad
0,govt-employed,Bachelors
0,govt-employed,Bachelors
0,govt-employed,Below-HS
0,govt-employed,HS-grad
0,govt-employed,Some-College
0,govt-employed,Below-HS
0,govt-employed,Below-HS
0,unemployed,HS-grad
0,govt-employed,HS-grad
0,govt-employed,Some-College
2,govt-employed,Below-HS
0,empl-unknown,HS-grad
0,govt-employed,Bachelors
0,govt-employed,Some-College
0,empl-unknown,Below-HS
0,govt-employed,Some-College
0,empl-unknown,Some-College
0,govt-employed,Below-HS
0,govt-employed,Some-College
0,govt-employed,Some-College
0,govt-employed,Below-HS
0,govt-employed,Bachelors
0,govt-employed,HS-grad
0,govt-employed,Below-HS
0,govt-employed,Some-College
0,govt-employed,Below-HS
0,govt-employed,Bachelors
0,govt-employed,Some-College
1,govt-employed,Some-College
2,govt-employed,Some-College
0,govt-employed,Bachelors
0,govt-employed,HS-grad
0,empl-unknown,Below-HS
0,unemployed,Some-College
0,unemployed,HS-grad
0,govt-employed,Bachelors
0,govt-employed,Below-HS
0,govt-employed,Some-College
0,govt-employed,Below-HS
0,govt-employed,Some-College
0,unemployed,HS-grad
0,govt-employed,Some-College
2,govt-employed,HS-grad
0,govt-employed,Some-College
0,govt-employed,Some-College
0,unemployed,HS-grad
0,govt-employed,Some-College
0,empl-unknown,Bachelors
0,govt-employed,HS-grad
0,unemployed,HS-grad
0,govt-employed,Some-College
0,govt-employed,HS-grad
0,govt-employed,Some-College
0,govt-employed,HS-grad
0,govt-employed,Masters-or-equivalent
0,govt-employed,Masters-or-equivalent
0,govt-employed,HS-grad
0,unemployed,HS-grad
0,govt-employed,HS-grad
0,govt-employed,Masters-or-equivalent
0,govt-employed,Some-College
0,govt-employed,Some-College
0,govt-employed,Masters-or-equivalent
0,govt-employed,Below-HS
0,govt-employed,HS-grad
0,govt-employed,Bachelors
0,govt-employed,Some-College
0,govt-employed,Some-College
0,govt-employed,HS-grad
0,govt-employed,Some-College
0,govt-employed,HS-grad
0,govt-employed,Bachelors
0,govt-employed,Bachelors
0,govt-employed,Some-College
0,govt-employed,Some-College
0,govt-employed,HS-grad
0,govt-employed,Masters-or-equivalent
0,unemployed,Some-College
1,govt-employed,Some-College
0,govt-employed,HS-grad
0,govt-employed,Bachelors
0,govt-employed,HS-grad
0,govt-employed,Bachelors
0,govt-employed,Some-College
0,govt-employed,Below-HS
0,govt-employed,HS-grad
0,govt-employed,HS-grad
1,empl-unknown,HS-grad
0,govt-employed,HS-grad
0,govt-employed,HS-grad
0,govt-employed,Masters-or-equivalent
0,govt-employed,Below-HS
0,self-employed,Masters-or-equivalent
0,govt-employed,Below-HS
0,govt-employed,Some-College
0,govt-employed,Some-College
0,govt-employed,Bachelors
0,govt-employed,HS-grad
1,govt-employed,Below-HS
0,unemployed,Some-College
0,govt-employed,Below-HS
0,govt-employed,HS-grad
0,govt-employed,Masters-or-equivalent
0,govt-employed,Bachelors
0,govt-employed,Some-College
0,govt-employed,Some-College
0,govt-employed,HS-grad
3,govt-employed,Masters-or-equivalent
0,unemployed,Below-HS
0,govt-employed,Some-College
0,govt-employed,HS-grad
0,unemployed,Some-College
0,govt-employed,HS-grad
0,govt-employed,Bachelors
0,govt-employed,Some-College
0,govt-employed,Some-College
0,govt-employed,Below-HS
0,govt-employed,Some-College
0,govt-employed,Some-College
1,govt-employed,HS-grad
0,govt-employed,Some-College
0,govt-employed,Below-HS
0,empl-unknown,HS-grad
0,unemployed,Masters-or-equivalent
0,govt-employed,Masters-or-equivalent
0,govt-employed,Some-College
0,govt-employed,HS-grad
1,govt-employed,HS-grad
0,empl-unknown,Some-College
1,empl-unknown,Below-HS
0,unemployed,Bachelors
0,govt-employed,Bachelors
0,govt-employed,Some-College
0,govt-employed,Below-HS
0,govt-employed,Some-College
1,self-employed,Some-College
0,govt-employed,HS-grad
0,govt-employed,Some-College
0,govt-employed,Below-HS
0,self-employed,HS-grad
0,govt-employed,Bachelors
0,govt-employed,Some-College
0,govt-employed,Some-College
0,govt-employed,Some-College
0,govt-employed,HS-grad
0,govt-employed,HS-grad
0,empl-unknown,HS-grad
0,govt-employed,Bachelors
0,govt-employed,Bachelors
0,govt-employed,Bachelors
0,govt-employed,Some-College
0,govt-employed,Some-College
0,govt-employed,HS-grad
0,govt-employed,Some-College
1,unemployed,HS-grad
0,govt-employed,HS-grad
0,govt-employed,HS-grad
0,empl-unknown,Bachelors
0,govt-employed,HS-grad
0,unemployed,HS-grad
0,govt-employed,Bachelors
0,govt-employed,Bachelors
0,govt-employed,HS-grad
0,unemployed,Masters-or-equivalent
0,govt-employed,HS-grad
0,govt-employed,Below-HS
0,govt-employed,Below-HS
0,unemployed,Masters-or-equivalent
0,govt-employed,Bachelors
0,govt-employed,HS-grad
0,govt-employed,HS-grad
0,govt-employed,Below-HS
0,govt-employed,Bachelors
0,empl-unknown,Below-HS
0,govt-employed,Below-HS
0,govt-employed,Some-College
0,govt-employed,Some-College
0,govt-employed,Below-HS
0,govt-employed,Below-HS
0,govt-employed,Some-College
0,govt-employed,HS-grad
0,govt-employed,Some-College
0,govt-employed,Bachelors
0,govt-employed,HS-grad
0,govt-employed,HS-grad
0,govt-employed,Some-College
0,govt-employed,Masters-or-equivalent
0,govt-employed,Bachelors
0,govt-employed,Some-College
0,govt-employed,Bachelors
0,govt-employed,Some-College
0,govt-employed,Some-College
1,govt-employed,HS-grad
0,empl-unknown,Some-College
0,govt-employed,Bachelors
0,govt-employed,Below-HS
0,govt-employed,Some-College
0,unemployed,Masters-or-equivalent
0,unemployed,Bachelors
0,govt-employed,Some-College
0,govt-employed,Some-College
0,govt-employed,Bachelors
0,govt-employed,Some-College
0,govt-employed,HS-grad
0,govt-employed,Below-HS
0,empl-unknown,Some-College
0,unemployed,Bachelors
0,govt-employed,HS-grad
0,govt-employed,HS-grad
0,govt-employed,Bachelors
1,empl-unknown,HS-grad
0,govt-employed,Some-College
0,govt-employed,Some-College
0,govt-employed,HS-grad
0,self-employed,Masters-or-equivalent
0,unemployed,HS-grad
0,govt-employed,HS-grad
0,govt-employed,Bachelors
0,govt-employed,HS-grad
0,govt-employed,Some-College
0,govt-employed,HS-grad
0,unemployed,Bachelors
0,govt-employed,Bachelors
0,govt-employed,Bachelors
2,govt-employed,HS-grad
0,govt-employed,Some-College
0,self-employed,HS-grad
0,govt-employed,Below-HS
0,govt-employed,Some-College
0,govt-employed,Some-College
0,govt-employed,Bachelors
0,govt-employed,Bachelors
0,unemployed,HS-grad
0,govt-employed,Bachelors
0,empl-unknown,Bachelors
0,govt-employed,Some-College
0,govt-employed,Some-College
0,govt-employed,HS-grad
0,govt-employed,Some-College
0,govt-employed,Below-HS
0,self-employed,Masters-or-equivalent
0,unemployed,Some-College
0,govt-employed,HS-grad
0,govt-employed,Bachelors
0,govt-employed,Bachelors
0,empl-unknown,Some-College
0,govt-employed,Bachelors
0,govt-employed,Some-College
0,govt-employed,HS-grad
0,govt-employed,Masters-or-equivalent
0,govt-employed,HS-grad
0,govt-employed,HS-grad
0,govt-employed,Some-College
0,govt-employed,HS-grad
0,govt-employed,Some-College
0,govt-employed,Some-College
2,govt-employed,Some-College
0,govt-employed,Some-College
0,govt-employed,HS-grad
0,govt-employed,Masters-or-equivalent
0,govt-employed,HS-grad
0,govt-employed,Below-HS
0,unemployed,HS-grad
0,govt-employed,Some-College
0,govt-employed,HS-grad
0,govt-employed,HS-grad
0,govt-employed,Some-College
0,govt-employed,Masters-or-equivalent
0,govt-employed,Some-College
0,govt-employed,HS-grad
0,govt-employed,HS-grad
1,empl-unknown,Below-HS
0,govt-employed,HS-grad
0,govt-employed,Some-College
0,govt-employed,HS-grad
0,govt-employed,Some-College
0,govt-employed,Some-College
4,empl-unknown,Below-HS
0,govt-employed,Below-HS
1,govt-employed,Below-HS
0,empl-unknown,Some-College
0,govt-employed,HS-grad
0,govt-employed,HS-grad
0,govt-employed,Some-College
1,govt-employed,HS-grad
0,govt-employed,Below-HS
0,govt-employed,Some-College
0,govt-employed,Bachelors
0,govt-employed,HS-grad
0,unemployed,Some-College
0,govt-employed,Some-College
1,govt-employed,Below-HS
0,govt-employed,HS-grad
0,govt-employed,HS-grad
0,govt-employed,Some-College
0,govt-employed,HS-grad
0,govt-employed,Below-HS
0,govt-employed,Bachelors
0,govt-employed,Some-College
0,govt-employed,HS-grad
0,govt-employed,HS-grad
0,govt-employed,Below-HS
0,govt-employed,HS-grad
0,govt-employed,Below-HS
0,govt-employed,Some-College
0,govt-employed,HS-grad
0,govt-employed,Below-HS
0,unemployed,Doctorate
1,unemployed,Below-HS
0,govt-employed,Some-College
0,govt-employed,HS-grad
0,govt-employed,Some-College
0,govt-employed,HS-grad
0,govt-employed,HS-grad
3,self-employed,Below-HS
0,govt-employed,Doctorate
0,govt-employed,Bachelors
0,govt-employed,Some-College
0,unemployed,HS-grad
0,govt-employed,Some-College
0,govt-employed,HS-grad
0,govt-employed,Some-College
2,govt-employed,Some-College
1,unemployed,HS-grad
0,govt-employed,HS-grad
0,govt-employed,Bachelors
0,govt-employed,HS-grad
0,govt-employed,Below-HS
0,empl-unknown,Bachelors
0,govt-employed,Some-College
0,govt-employed,HS-grad
1,unemployed,Below-HS
0,self-employed,Bachelors
0,empl-unknown,Some-College
0,govt-employed,Masters-or-equivalent
0,unemployed,HS-grad
0,govt-employed,Some-College
0,govt-employed,HS-grad
0,govt-employed,Bachelors
1,govt-employed,HS-grad
0,govt-employed,Bachelors
0,empl-unknown,HS-grad
0,govt-employed,Masters-or-equivalent
0,govt-employed,Some-College
0,govt-employed,Some-College
0,unemployed,Some-College
0,govt-employed,Below-HS
0,unemployed,Bachelors
0,govt-employed,Below-HS
0,govt-employed,Some-College
0,govt-employed,Some-College
0,govt-employed,Some-College
0,govt-employed,HS-grad
0,govt-employed,Below-HS
1,govt-employed,HS-grad
0,govt-employed,HS-grad
